heat stress,non-treatment,type
SRR22741460,SRR22741464,PAIRED
SRR22741461,SRR22741465,PAIRED
SRR22741462,SRR22741466,PAIRED
SRR22741463,SRR22741467,PAIRED
SRR22741468,SRR22741472,PAIRED
SRR22741469,SRR22741473,PAIRED
SRR22741470,SRR22741473,PAIRED
SRR22741471,SRR22741475,PAIRED
SRR10991576,SRR10991573,PAIRED
SRR10991577,SRR10991574,PAIRED
SRR10991578,SRR10991575,PAIRED
SRR10991582,SRR10991579,PAIRED
SRR10991583,SRR10991580,PAIRED
SRR10991584,SRR10991581,PAIRED
SRR12073957,SRR12073954,SINGLE
SRR12073958,SRR12073955,SINGLE
SRR12073959,SRR12073956,SINGLE
SRR8140273,SRR8140267,SINGLE
SRR8140274,SRR8140268,SINGLE
SRR8140275,SRR8140269,SINGLE
SRR8140276,SRR8140270,SINGLE
SRR8140277,SRR8140271,SINGLE
SRR8140278,SRR8140272,SINGLE
SRR8140285,SRR8140279,SINGLE
SRR8140286,SRR8140280,SINGLE
SRR8140287,SRR8140281,SINGLE
SRR8140288,SRR8140282,SINGLE
SRR8140289,SRR8140283,SINGLE
SRR8140290,SRR8140284,SINGLE
SRR10423442,SRR10423445,PAIRED
SRR10423443,SRR10423446,PAIRED
SRR10423444,SRR10423447,PAIRED
SRR10423430,SRR10423436,PAIRED
SRR10423431,SRR10423437,PAIRED
SRR10423432,SRR10423438,PAIRED
SRR10423433,SRR10423439,PAIRED
SRR10423434,SRR10423440,PAIRED
SRR10423435,SRR10423441,PAIRED
SRR10423418,SRR10423424,PAIRED
SRR10423419,SRR10423425,PAIRED
SRR10423420,SRR10423426,PAIRED
SRR10423421,SRR10423427,PAIRED
SRR10423422,SRR10423428,PAIRED
SRR10423423,SRR10423429,PAIRED
SRR5796950,SRR5796940,SINGLE
SRR5796951,SRR5796941,SINGLE
SRR5796952,SRR5796942,SINGLE
SRR5796953,SRR5796943,SINGLE
SRR5796954,SRR5796944,SINGLE
SRR5796955,SRR5796945,SINGLE
SRR5796956,SRR5796946,SINGLE
SRR5796957,SRR5796947,SINGLE
SRR5796958,SRR5796948,SINGLE
SRR5796959,SRR5796949,SINGLE
